127.0.0.1 - - [28/Nov/2021:22:16:59 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [28/Nov/2021:22:17:02 +0900] "GET /milkyWayForest/admin/adminIndex.jsp HTTP/1.1" 200 15481
0:0:0:0:0:0:0:1 - - [28/Nov/2021:22:17:03 +0900] "GET /milkyWayForest/assets/demo/demo.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2021:22:17:03 +0900] "GET /milkyWayForest/assets/css/adminIndex.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2021:22:17:03 +0900] "GET /milkyWayForest/assets/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2021:22:17:03 +0900] "GET /milkyWayForest/bootstrap/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2021:22:17:03 +0900] "GET /milkyWayForest/assets/css/paper-dashboard.css?v=2.0.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2021:22:17:03 +0900] "GET /milkyWayForest/assets/js/adminIndex.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2021:22:17:03 +0900] "GET /milkyWayForest/assets/js/core/popper.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2021:22:17:03 +0900] "GET /milkyWayForest/assets/js/core/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2021:22:17:03 +0900] "GET /milkyWayForest/assets/js/core/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2021:22:17:03 +0900] "GET /milkyWayForest/assets/js/plugins/perfect-scrollbar.jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2021:22:17:03 +0900] "GET /milkyWayForest/assets/js/plugins/bootstrap-notify.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2021:22:17:03 +0900] "GET /milkyWayForest/image/milkyWayForestLogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2021:22:17:03 +0900] "GET /milkyWayForest/assets/js/paper-dashboard.min.js?v=2.0.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2021:22:17:03 +0900] "GET /milkyWayForest/assets/js/plugins/chartjs.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2021:22:17:03 +0900] "GET /milkyWayForest/assets/fonts/nucleo-icons.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2021:22:17:07 +0900] "GET /milkyWayForest/admin/memberList?dataNum=2&pg=1 HTTP/1.1" 200 12482
0:0:0:0:0:0:0:1 - - [28/Nov/2021:22:17:09 +0900] "GET /milkyWayForest/admin/pAllMenu?dataNum=1 HTTP/1.1" 200 15480
0:0:0:0:0:0:0:1 - - [28/Nov/2021:22:17:09 +0900] "POST /milkyWayForest/admin/getMemberList?pg=1 HTTP/1.1" 200 2443
0:0:0:0:0:0:0:1 - - [28/Nov/2021:22:17:11 +0900] "GET /milkyWayForest/write/memberAgree HTTP/1.1" 200 30263
0:0:0:0:0:0:0:1 - - [28/Nov/2021:22:17:11 +0900] "GET /milkyWayForest/css/header.css HTTP/1.1" 200 2167
0:0:0:0:0:0:0:1 - - [28/Nov/2021:22:17:11 +0900] "GET /milkyWayForest/image/starbucksStaff.JPG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2021:22:17:11 +0900] "GET /milkyWayForest/css/writeAgreeForm.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2021:22:17:11 +0900] "GET /milkyWayForest/css/header_mobile.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2021:22:17:11 +0900] "GET /milkyWayForest/css/header_tablet.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2021:22:17:11 +0900] "GET /milkyWayForest/js/write.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2021:22:17:11 +0900] "GET /milkyWayForest/image/check1.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2021:22:17:11 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Nov/2021:22:20:16 +0900] "GET /milkyWayForest/write/memberAgree HTTP/1.1" 200 30263
0:0:0:0:0:0:0:1 - - [28/Nov/2021:22:20:17 +0900] "GET /milkyWayForest/write/memberAgree HTTP/1.1" 200 30263
0:0:0:0:0:0:0:1 - - [28/Nov/2021:22:20:18 +0900] "GET /milkyWayForest/write/memberAgree HTTP/1.1" 200 30263
0:0:0:0:0:0:0:1 - - [28/Nov/2021:22:20:18 +0900] "GET /milkyWayForest/write/memberAgree HTTP/1.1" 200 30263
0:0:0:0:0:0:0:1 - - [28/Nov/2021:22:20:20 +0900] "GET /milkyWayForest/write/memberAgree HTTP/1.1" 200 30263
0:0:0:0:0:0:0:1 - - [28/Nov/2021:22:20:22 +0900] "GET /milkyWayForest/write/memberAgree HTTP/1.1" 200 30263
0:0:0:0:0:0:0:1 - - [28/Nov/2021:22:20:23 +0900] "GET /milkyWayForest/write/memberAgree HTTP/1.1" 200 30263
0:0:0:0:0:0:0:1 - - [28/Nov/2021:22:20:25 +0900] "GET /milkyWayForest/write/memberAgree HTTP/1.1" 200 30263
0:0:0:0:0:0:0:1 - - [28/Nov/2021:22:20:26 +0900] "GET /milkyWayForest/write/memberAgree HTTP/1.1" 200 30263
0:0:0:0:0:0:0:1 - - [28/Nov/2021:22:20:26 +0900] "GET /milkyWayForest/write/memberAgree HTTP/1.1" 200 30263
0:0:0:0:0:0:0:1 - - [28/Nov/2021:22:20:31 +0900] "GET /milkyWayForest/write/memberAgree HTTP/1.1" 200 30263
0:0:0:0:0:0:0:1 - - [28/Nov/2021:22:20:31 +0900] "GET /milkyWayForest/css/header.css HTTP/1.1" 200 2167
0:0:0:0:0:0:0:1 - - [28/Nov/2021:22:20:31 +0900] "GET /milkyWayForest/js/write.js HTTP/1.1" 200 8068
0:0:0:0:0:0:0:1 - - [28/Nov/2021:22:20:31 +0900] "GET /milkyWayForest/image/starbucksStaff.JPG HTTP/1.1" 200 13638
0:0:0:0:0:0:0:1 - - [28/Nov/2021:22:20:31 +0900] "GET /milkyWayForest/image/milkyWayForestLogo.png HTTP/1.1" 200 7056
0:0:0:0:0:0:0:1 - - [28/Nov/2021:22:20:31 +0900] "GET /milkyWayForest/css/writeAgreeForm.css HTTP/1.1" 200 8765
