127.0.0.1 - - [12/Dec/2021:04:34:09 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [12/Dec/2021:04:34:12 +0900] "GET /milkyWayForest/mypage/mypageCpnPnts.jsp HTTP/1.1" 200 17262
0:0:0:0:0:0:0:1 - - [12/Dec/2021:04:34:12 +0900] "GET /resources/image/btn_search_one_day.jpg HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [12/Dec/2021:04:34:12 +0900] "GET /resources/image/btn_search_1_week.jpg HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [12/Dec/2021:04:34:12 +0900] "GET /resources/image/btn_search_2_week.jpg HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [12/Dec/2021:04:34:13 +0900] "GET /milkyWayForest/resources/image/btn_search_1_month.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Dec/2021:04:34:13 +0900] "GET /resources/image/btn_search_2_month.jpg HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [12/Dec/2021:04:34:13 +0900] "GET /resources/image/btn_search_3_month.jpg HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [12/Dec/2021:04:34:13 +0900] "GET /milkyWayForest/css/mypage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2021:04:34:13 +0900] "GET /resources/image/btn_search_4_month.jpg HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [12/Dec/2021:04:34:13 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [12/Dec/2021:04:34:14 +0900] "POST /milkyWayForest/mypage/getPaymentInfo HTTP/1.1" 500 24439
0:0:0:0:0:0:0:1 - - [12/Dec/2021:04:34:14 +0900] "POST /milkyWayForest/mypage/getMypageMyInfo HTTP/1.1" 200 -
