127.0.0.1 - - [21/Oct/2021:09:49:19 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [21/Oct/2021:09:49:19 +0900] "GET /AJaxJQuery/02_xml/exam05.html HTTP/1.1" 200 1956
0:0:0:0:0:0:0:1 - - [21/Oct/2021:09:49:20 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [21/Oct/2021:09:57:02 +0900] "GET /AJaxJQuery/02_xml/exam05.html HTTP/1.1" 200 2361
0:0:0:0:0:0:0:1 - - [21/Oct/2021:11:07:44 +0900] "GET /AJaxJQuery/02_xml/exam05.html HTTP/1.1" 200 3694
0:0:0:0:0:0:0:1 - - [21/Oct/2021:11:07:48 +0900] "POST /AJaxJQuery/comment/comment_write.jsp HTTP/1.1" 200 269
0:0:0:0:0:0:0:1 - - [21/Oct/2021:11:07:49 +0900] "POST /AJaxJQuery/comment/comment_write.jsp HTTP/1.1" 200 269
0:0:0:0:0:0:0:1 - - [21/Oct/2021:11:07:49 +0900] "POST /AJaxJQuery/comment/comment_write.jsp HTTP/1.1" 200 269
0:0:0:0:0:0:0:1 - - [21/Oct/2021:11:09:08 +0900] "GET /AJaxJQuery/02_xml/exam05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2021:11:09:11 +0900] "POST /AJaxJQuery/comment/comment_write.jsp HTTP/1.1" 200 266
0:0:0:0:0:0:0:1 - - [21/Oct/2021:11:09:12 +0900] "POST /AJaxJQuery/comment/comment_write.jsp HTTP/1.1" 200 266
0:0:0:0:0:0:0:1 - - [21/Oct/2021:11:09:12 +0900] "POST /AJaxJQuery/comment/comment_write.jsp HTTP/1.1" 200 266
0:0:0:0:0:0:0:1 - - [21/Oct/2021:11:09:12 +0900] "POST /AJaxJQuery/comment/comment_write.jsp HTTP/1.1" 200 266
0:0:0:0:0:0:0:1 - - [21/Oct/2021:11:09:12 +0900] "POST /AJaxJQuery/comment/comment_write.jsp HTTP/1.1" 200 266
0:0:0:0:0:0:0:1 - - [21/Oct/2021:11:09:12 +0900] "POST /AJaxJQuery/comment/comment_write.jsp HTTP/1.1" 200 266
0:0:0:0:0:0:0:1 - - [21/Oct/2021:11:09:14 +0900] "POST /AJaxJQuery/comment/comment_write.jsp HTTP/1.1" 200 266
0:0:0:0:0:0:0:1 - - [21/Oct/2021:11:09:15 +0900] "POST /AJaxJQuery/comment/comment_write.jsp HTTP/1.1" 200 266
0:0:0:0:0:0:0:1 - - [21/Oct/2021:11:09:15 +0900] "POST /AJaxJQuery/comment/comment_write.jsp HTTP/1.1" 200 266
0:0:0:0:0:0:0:1 - - [21/Oct/2021:11:09:15 +0900] "POST /AJaxJQuery/comment/comment_write.jsp HTTP/1.1" 200 266
0:0:0:0:0:0:0:1 - - [21/Oct/2021:11:09:16 +0900] "POST /AJaxJQuery/comment/comment_write.jsp HTTP/1.1" 200 266
0:0:0:0:0:0:0:1 - - [21/Oct/2021:11:09:16 +0900] "POST /AJaxJQuery/comment/comment_write.jsp HTTP/1.1" 200 266
0:0:0:0:0:0:0:1 - - [21/Oct/2021:11:09:16 +0900] "POST /AJaxJQuery/comment/comment_write.jsp HTTP/1.1" 200 266
0:0:0:0:0:0:0:1 - - [21/Oct/2021:11:09:16 +0900] "POST /AJaxJQuery/comment/comment_write.jsp HTTP/1.1" 200 266
