127.0.0.1 - - [31/Jan/2022:02:43:24 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [31/Jan/2022:02:43:27 +0900] "GET /mvcmember/ HTTP/1.1" 200 398
0:0:0:0:0:0:0:1 - - [31/Jan/2022:02:43:27 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [31/Jan/2022:02:43:29 +0900] "GET /mvcmember/member/writeForm.do HTTP/1.1" 200 3033
0:0:0:0:0:0:0:1 - - [31/Jan/2022:02:43:29 +0900] "GET /mvcmember/js/member.js HTTP/1.1" 200 2430
0:0:0:0:0:0:0:1 - - [31/Jan/2022:02:43:33 +0900] "GET /mvcmember/board/boardList.do?pg=1 HTTP/1.1" 200 2663
0:0:0:0:0:0:0:1 - - [31/Jan/2022:02:43:45 +0900] "GET /MQBProject/ HTTP/1.1" 200 3663
0:0:0:0:0:0:0:1 - - [31/Jan/2022:02:43:45 +0900] "GET /MQBProject/image/%EB%A7%9D%EC%83%81%ED%86%A0%EB%81%BC.png HTTP/1.1" 200 23083
0:0:0:0:0:0:0:1 - - [31/Jan/2022:02:43:45 +0900] "GET /MQBProject/js/member.js HTTP/1.1" 200 8622
0:0:0:0:0:0:0:1 - - [31/Jan/2022:02:43:45 +0900] "POST /milkyWayForest/mypage/getPaymentInfo HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [31/Jan/2022:02:43:45 +0900] "POST /milkyWayForest/mypage/getPaymentSaveMoneyList HTTP/1.1" 404 860
0:0:0:0:0:0:0:1 - - [31/Jan/2022:02:43:45 +0900] "POST /milkyWayForest/mypage/getCouponList HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [31/Jan/2022:02:43:45 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [31/Jan/2022:17:46:09 +0900] "GET /MQBProject/main/nav.jsp HTTP/1.1" 200 1449
0:0:0:0:0:0:0:1 - - [31/Jan/2022:17:46:30 +0900] "GET /MQBProject/member/writeForm.do HTTP/1.1" 200 6362
0:0:0:0:0:0:0:1 - - [31/Jan/2022:17:46:30 +0900] "POST /milkyWayForest/mypage/getPaymentInfo HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [31/Jan/2022:17:46:30 +0900] "POST /milkyWayForest/mypage/getPaymentSaveMoneyList HTTP/1.1" 404 860
0:0:0:0:0:0:0:1 - - [31/Jan/2022:17:46:30 +0900] "POST /milkyWayForest/mypage/getCouponList HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [31/Jan/2022:17:49:18 +0900] "GET /MQBProject/index.jsp HTTP/1.1" 200 3663
0:0:0:0:0:0:0:1 - - [31/Jan/2022:17:49:18 +0900] "POST /milkyWayForest/mypage/getPaymentInfo HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [31/Jan/2022:17:49:18 +0900] "POST /milkyWayForest/mypage/getPaymentSaveMoneyList HTTP/1.1" 404 860
0:0:0:0:0:0:0:1 - - [31/Jan/2022:17:49:18 +0900] "POST /milkyWayForest/mypage/getCouponList HTTP/1.1" 404 850
